t,Scenario5.GAS_PRICE,Scenario5.POWER_PRICE,Scenario5.HEAT_PRICE,Scenario5.heat_demand,Scenario5.heat_demand_scenario,Scenario5.delta_heat_demand,Scenario5.probability,Scenario5.heat_storage1.initial_soc,Scenario5.chp1.bin,Scenario5.chp1.power,Scenario5.chp1.gas,Scenario5.chp1.heat,Scenario5.chp1.eta_th,Scenario5.chp1.eta_el,Scenario5.chp1.y1,Scenario5.chp1.y2,Scenario5.chp2.bin,Scenario5.chp2.power,Scenario5.chp2.gas,Scenario5.chp2.heat,Scenario5.chp2.eta_th,Scenario5.chp2.eta_el,Scenario5.chp2.y1,Scenario5.chp2.y2,Scenario5.boiler1.bin,Scenario5.boiler1.heat,Scenario5.boiler1.gas,Scenario5.boiler1.eta_th,Scenario5.boiler1.y1,Scenario5.boiler1.y2,Scenario5.heat_storage1.heat_charge,Scenario5.heat_storage1.bin_charge,Scenario5.heat_storage1.heat_discharge,Scenario5.heat_storage1.bin_discharge,Scenario5.heat_storage1.heat_balance,Scenario5.heat_storage1.heat_capacity,Scenario5.heat_storage1.dispatch_heat_capacity,Scenario5.heat_storage1.dispatch_heat_charge,Scenario5.heat_storage1.dispatch_heat_discharge,Scenario5.heat_storage1.dispatch_storage_capacity,Scenario5.heat_storage1.dispatch_extension,Scenario5.heat_storage1.use_extension,Scenario5.ngas_grid.gas_balance,Scenario5.power_grid.power_balance,Scenario5.power_grid.power_supply,Scenario5.power_grid.power_feedin,Scenario5.heat_grid.heat_balance,Scenario5.heat_grid.heat_supply,Scenario5.heat_grid.heat_feedin,Scenario5.heat_grid.dispatch_heat_feedin,Scenario5.heat_grid.dispatch_heat_supply,Scenario5.heat_grid.dispatch_heat_balance,Scenario5.arc01_expanded.power,Scenario5.arc02_expanded.power,Scenario5.arc03_expanded.heat,Scenario5.arc04_expanded.heat,Scenario5.arc05_expanded.heat,Scenario5.arc06_expanded.gas,Scenario5.arc07_expanded.gas,Scenario5.arc08_expanded.heat
1,0.1543,0.251,0.105,53.9955548379377,41.26389681674748,12.73165802119022,0.06683608080805566,320.0,1.0,30.514688738567287,102.70738597550437,61.819251253416176,0.6038687703566327,0.29513122963694144,1.0,0.0,1.0,38.89001692046986,115.05922165819862,68.0,0.5910000000035914,0.3380000000033699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.82369641547683,1.0,0.0,0.0,-75.82369641547683,395.82369641547683,408.5553544366671,12.73165802119022,0.0,400.0,8.555354436667074,1.0,102.70738597550437,-69.40470565903715,0.0,69.40470565903715,0.0,75.82369641547683,129.81925125341454,0.0,12.73165802119022,0.0,30.514688738567287,38.89001692046986,61.819251253416176,68.0,0.0,0.0,102.70738597550437,0.0
2,0.1543,0.251,0.105,62.63446794760584,76.02061394595823,-13.38614599835239,0.06683608080805566,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.571084790335675,112.35937171416896,66.81077153212901,0.5954001453347081,0.33359985467225334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1763035845231675,1.0,0.0,0.0,-4.176303584523168,400.0,386.6138540016476,0.0,13.38614599835239,386.6138540016476,0.0,0.0,0.0,-37.571084790335675,0.0,37.571084790335675,0.0,4.1763035845231675,66.81077153212901,13.38614599835239,0.0,0.0,0.0,37.571084790335675,0.0,66.81077153212901,0.0,0.0,0.0,0.0
3,0.1543,0.251,0.105,117.96714356822358,190.93427301364164,-72.96712944541807,0.06683608080805566,320.0,1.0,26.372168284790547,93.85113268607955,58.0,0.6179999999942721,0.2809999999993016,1.0,0.0,1.0,29.981053898751483,96.82260222494438,59.96714356822357,0.6207215688011583,0.30827843120580317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,327.0328705545819,0.0,72.96712944541807,327.0328705545819,0.0,0.0,93.85113268607955,-56.35322218354203,0.0,56.35322218354203,0.0,0.0,117.96714356822358,72.96712944541807,0.0,0.0,26.372168284790547,29.981053898751483,58.0,59.96714356822357,0.0,0.0,93.85113268607955,0.0
4,0.1543,0.251,0.105,76.96948856098527,96.51822571004314,-19.54873714905787,0.06683608080805566,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046986,115.05922165819862,68.0,0.5910000000035914,0.3380000000033699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.969488560986903,1.0,8.969488560986903,391.03051143901314,371.4817742899553,0.0,19.54873714905787,371.4817742899553,0.0,0.0,0.0,-38.89001692046986,0.0,38.89001692046986,0.0,0.0,76.96948856098527,19.54873714905787,0.0,0.0,0.0,38.89001692046986,0.0,68.0,0.0,0.0,0.0,8.969488560986903
5,0.1543,0.251,0.105,77.02039847440128,81.68236196848787,-4.661963494086592,0.06683608080805566,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046986,115.05922165819862,68.0,0.5910000000035914,0.3380000000033699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02039847440291,1.0,9.020398474402953,382.0101129646102,377.3481494705236,0.0,4.661963494086592,377.3481494705236,0.0,0.0,0.0,-38.89001692046986,0.0,38.89001692046986,0.0,0.0,77.02039847440128,4.661963494086592,0.0,0.0,0.0,38.89001692046986,0.0,68.0,0.0,0.0,0.0,9.02039847440291
6,0.1543,0.251,0.105,74.84938140259251,45.44900664476741,29.400374757825105,0.06683608080805566,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.849381402592513,1.0,6.849381402592513,375.1607315620177,404.5611063198428,29.400374757825105,0.0,400.0,4.561106319842793,1.0,0.0,-38.89001692047168,0.0,38.89001692047168,0.0,0.0,74.84938140259251,0.0,29.400374757825105,0.0,0.0,38.89001692047168,0.0,68.0,0.0,0.0,0.0,6.849381402592513
7,0.1543,0.251,0.105,81.62309187243272,94.54683876697997,-12.92374689454725,0.06683608080805566,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.623091872432724,1.0,13.623091872432724,361.537639689585,348.6138927950377,0.0,12.92374689454725,348.6138927950377,0.0,0.0,0.0,-38.89001692047168,0.0,38.89001692047168,0.0,0.0,81.62309187243272,12.92374689454725,0.0,0.0,0.0,38.89001692047168,0.0,68.0,0.0,0.0,0.0,13.623091872432724
8,0.1543,0.251,0.105,83.51673593360302,74.55155072921764,8.965185204385378,0.06683608080805566,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.516735933603016,1.0,15.516735933603002,346.020903755982,354.98608896036734,8.965185204385378,0.0,354.98608896036734,0.0,0.0,0.0,-38.89001692047168,0.0,38.89001692047168,0.0,0.0,83.51673593360302,0.0,8.965185204385378,0.0,0.0,38.89001692047168,0.0,68.0,0.0,0.0,0.0,15.516735933603016
9,0.1543,0.251,0.105,78.08779330644343,73.83306317499068,4.254730131452746,0.06683608080805566,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08779330644343,1.0,10.087793306443416,335.93311044953856,340.1878405809913,4.254730131452746,0.0,340.1878405809913,0.0,0.0,0.0,-38.89001692047168,0.0,38.89001692047168,0.0,0.0,78.08779330644343,0.0,4.254730131452746,0.0,0.0,38.89001692047168,0.0,68.0,0.0,0.0,0.0,10.08779330644343
10,0.1543,0.251,0.105,67.5809212944397,57.7315206111369,9.849400683302804,0.06683608080805566,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692047169,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41907870556029536,1.0,0.0,0.0,-0.41907870556029536,336.35218915509887,346.2015898384017,9.849400683302804,0.0,346.2015898384017,0.0,0.0,0.0,-38.89001692047169,0.0,38.89001692047169,0.0,0.41907870556029536,68.0,0.0,9.849400683302804,0.0,0.0,38.89001692047169,0.0,68.0,0.0,0.0,0.0,0.0
