t,Scenario6.GAS_PRICE,Scenario6.POWER_PRICE,Scenario6.HEAT_PRICE,Scenario6.heat_demand,Scenario6.heat_demand_scenario,Scenario6.delta_heat_demand,Scenario6.probability,Scenario6.heat_storage1.initial_soc,Scenario6.chp1.bin,Scenario6.chp1.power,Scenario6.chp1.gas,Scenario6.chp1.heat,Scenario6.chp1.eta_th,Scenario6.chp1.eta_el,Scenario6.chp1.y1,Scenario6.chp1.y2,Scenario6.chp2.bin,Scenario6.chp2.power,Scenario6.chp2.gas,Scenario6.chp2.heat,Scenario6.chp2.eta_th,Scenario6.chp2.eta_el,Scenario6.chp2.y1,Scenario6.chp2.y2,Scenario6.boiler1.bin,Scenario6.boiler1.heat,Scenario6.boiler1.gas,Scenario6.boiler1.eta_th,Scenario6.boiler1.y1,Scenario6.boiler1.y2,Scenario6.heat_storage1.heat_charge,Scenario6.heat_storage1.bin_charge,Scenario6.heat_storage1.heat_discharge,Scenario6.heat_storage1.bin_discharge,Scenario6.heat_storage1.heat_balance,Scenario6.heat_storage1.heat_capacity,Scenario6.heat_storage1.dispatch_heat_capacity,Scenario6.heat_storage1.dispatch_heat_charge,Scenario6.heat_storage1.dispatch_heat_discharge,Scenario6.heat_storage1.dispatch_storage_capacity,Scenario6.heat_storage1.dispatch_extension,Scenario6.heat_storage1.use_extension,Scenario6.ngas_grid.gas_balance,Scenario6.power_grid.power_balance,Scenario6.power_grid.power_supply,Scenario6.power_grid.power_feedin,Scenario6.heat_grid.heat_balance,Scenario6.heat_grid.heat_supply,Scenario6.heat_grid.heat_feedin,Scenario6.heat_grid.dispatch_heat_feedin,Scenario6.heat_grid.dispatch_heat_supply,Scenario6.heat_grid.dispatch_heat_balance,Scenario6.arc01_expanded.power,Scenario6.arc02_expanded.power,Scenario6.arc03_expanded.heat,Scenario6.arc04_expanded.heat,Scenario6.arc05_expanded.heat,Scenario6.arc06_expanded.gas,Scenario6.arc07_expanded.gas,Scenario6.arc08_expanded.heat
1,0.1543,0.251,0.105,53.9955548379377,62.70854238008045,-8.712987542142749,0.06838432206484994,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.004445162062268,1.0,0.0,0.0,-14.004445162062268,334.00444516206227,325.2914576199195,0.0,8.712987542142749,325.2914576199195,0.0,0.0,117.03958691910523,-37.218588640277474,0.0,37.218588640277474,0.0,14.004445162062268,68.0,8.712987542142749,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
2,0.1543,0.251,0.105,62.63446794760584,9.70907013129164,52.9253978163142,0.06838432206484994,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.63446794760585,1.0,62.634467947605856,271.3699772144564,324.29537503077063,52.9253978163142,0.0,324.29537503077063,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.63446794760584,0.0,52.9253978163142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.63446794760585
3,0.1543,0.251,0.105,117.96714356822358,156.59523502463605,-38.62809145641248,0.06838432206484994,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.03285643177645,1.0,0.0,0.0,-25.03285643177645,296.40283364623286,257.77474218982036,0.0,38.62809145641248,257.77474218982036,0.0,0.0,117.0395869191004,-75.31382673551299,0.0,75.31382673551299,0.0,25.03285643177645,143.0,38.62809145641248,0.0,0.0,37.21858864027628,38.095238095238095,68.0,75.0,0.0,0.0,117.0395869191004,0.0
4,0.1543,0.251,0.105,76.96948856098527,34.98204035437689,41.98744820660838,0.06838432206484994,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9694885609834074,1.0,1.9694885609833932,294.43334508524947,336.4207932918579,41.98744820660838,0.0,336.4207932918579,0.0,-0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,76.96948856098527,0.0,41.98744820660838,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,1.9694885609834074
5,0.1543,0.251,0.105,77.02039847440128,81.68236196848787,-4.661963494086592,0.06838432206484994,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020398474399414,1.0,2.020398474399414,292.41294661085004,287.75098311676345,0.0,4.661963494086592,287.75098311676345,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,77.02039847440128,4.661963494086592,0.0,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,2.020398474399414
6,0.1543,0.251,0.105,74.84938140259251,71.69903655123885,3.1503448513536654,0.06838432206484994,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15061859740934835,1.0,0.0,0.0,-0.150618597409391,292.56356520825943,295.7139100596131,3.1503448513536654,0.0,295.7139100596131,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.15061859740934835,75.0,0.0,3.1503448513536654,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
7,0.1543,0.251,0.105,81.62309187243272,94.54683876697997,-12.92374689454725,0.06838432206484994,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.623091872430862,1.0,6.623091872430862,285.94047333582853,273.01672644128126,0.0,12.92374689454725,273.01672644128126,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,81.62309187243272,12.92374689454725,0.0,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,6.623091872430862
8,0.1543,0.251,0.105,83.51673593360302,74.55155072921764,8.965185204385378,0.06838432206484994,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.516735933601154,1.0,8.516735933601154,277.4237374022274,286.38892260661277,8.965185204385378,0.0,286.38892260661277,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,83.51673593360302,0.0,8.965185204385378,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,8.516735933601154
9,0.1543,0.251,0.105,78.08779330644343,73.83306317499068,4.254730131452746,0.06838432206484994,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0877933064415686,1.0,3.0877933064415686,274.3359440957858,278.59067422723854,4.254730131452746,0.0,278.59067422723854,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,78.08779330644343,0.0,4.254730131452746,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,3.0877933064415686
10,0.1543,0.251,0.105,67.5809212944397,86.85963538460092,-19.278714090161216,0.06838432206484994,320.0,1.0,37.21858864027627,117.03958691910037,68.0,0.5809999999942719,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41907870556028115,1.0,0.0,0.0,-0.41907870556028115,274.75502280134606,255.47630871118486,0.0,19.278714090161216,255.47630871118486,0.0,0.0,117.03958691910037,-37.21858864027627,0.0,37.21858864027627,0.0,0.41907870556028115,68.0,19.278714090161216,0.0,0.0,37.21858864027627,0.0,68.0,0.0,0.0,0.0,117.03958691910037,0.0
11,0.1543,0.251,0.105,63.813918620145245,19.471322663307845,44.3425959568374,0.06838432206484994,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.186081379856617,1.0,0.0,0.0,-11.186081379856603,285.94110418120266,330.28370013804005,44.3425959568374,0.0,330.28370013804005,0.0,-0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,11.186081379856617,75.0,0.0,44.3425959568374,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
